"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Будапештская ул.,  д. 3,  лит. А.",2023-09-25 11:00:00,2023-09-25 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Яхтенная д. 32 к. 2,  ул. Яхтенная д. 32 к. 3,  ул. Яхтенная д. 32 к. 4",2023-09-25 10:00:00,2023-09-25 17:00:00,Кабельная сеть,Западный РЭС,
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,2023-09-25 10:00:00,2023-09-25 17:00:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,2023-09-25 10:00:00,2023-09-25 20:00:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Петровский пр.,  д. 1,  д. 3,  д. 5 стр. 1,  д. 16",2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501
Санкт-Петербург,Курортный район,п.Комарово,"Щучье Озеро,  д.3 (участок 1), берег Щучьего озера,  д.5 , Берег Щучьего Озера тер,  д.3",2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Санкт-Петербург,Курортный район,п.Комарово,"Берег Щучьего Озера тер,  д.2 , Щучье Озеро,  д.2 , Щучье Озеро,  д.2Б",2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)","СНТ Акватория,  ПДК Балтийская Ривьера, ДНП Старое Приветнинское ,  СНТ Улис ,  СНТ Онега,  СНТ Ручей,  СНТ Руские мельницы,  СНТ Омега ДНП Золотые Пески,  магазин Стройудача,  СНТ Озерное,  ДНП Приморье 1,  Т/Б Разлив КП Крутой берег,  НП Новое Комарово,  СНТ Зеленая Поляна СНТ Полянки,  СНТ Финский Бриз,  СНТ Морские терассы,  СНТ Стрела",2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,
Ленинградская область,Волосовский район,"Пружицы,  Голятицы",,2023-09-25 09:00:00,2023-09-25 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Санкт-Петербург,Курортный район,п.Лисий Нос,"Морские Дубки ул,  д.28  ,  Морские Дубки ул,  д.31  ,  Морские Дубки ул,  д.33  ,  Морские Дубки ул,  д.37  ,  Пограничная ул,  д.32 А ,  Пограничная ул,  д.49  ,  Пограничная ул,  д.50  ,  Пограничная ул,  д.51  ,  Пограничная ул,  д.53  ,  Пограничная ул,  д.54  ,  Пограничная ул,  д.59 А ,  Пограничная ул,  д.62  ,  Пограничная ул,  д.64  ,  Морские Дубки ул,  д.37 А ,  Морские Дубки ул,  д.38  ,  Морские Дубки ул,  д.39  ,  Морские Дубки ул,  д.41 А ,  Пограничная ул,  д.38 А ,  Пограничная ул,  д.50 А ,  Пограничная ул,  д.58  ,  Пограничная ул,  д.59  ,  Пограничная ул,  д.61  ,  Пограничная ул,  д.62 А ,  Морские Дубки ул,  д.29  ,  Морские Дубки ул,  д.43  ,  Пограничная ул,  д.64 А ,  Морские Дубки ул,  д.40  ,  Пограничная ул,  д.52  ,  Пограничная ул,  д.  уч. 7,  Морские Дубки ул,  д.32  лит.А,  Морские Дубки ул,  д.34  лит.А,  Морские Дубки ул,  д.41  лит.А,  Морские Дубки ул,  д.29  лит.Б,  Пограничная ул,  д.56  ,  пом.1,  Пограничная ул,  д.  уч. 18,  Пограничная ул,  д.56  ,  пом.2,  Пограничная ул,  д.52 А ,  Пограничная ул,  д.51 А ,  Морские Дубки ул,  д.42  ,  Пограничная ул,  д.10 А ,  Морские Дубки ул,  д.29 А ,  Морские Дубки ул,  д.34 А ,  Морские Дубки ул,  д.53 А ,  Пограничная ул,  д.54 А ,  Пограничная ул,  д.53 А ,  Морские Дубки ул,  д.36 А ,  Пограничная ул,  д.40 А ,  Морские Дубки ул,  д.41 Б ,  Морские Дубки ул,  д.32 А ,  Пограничная ул,  д.49 А ,  Пограничная ул,  д.60 А ,  Морские Дубки ул,  д.29 Б ,  Морские Дубки ул,  д.30 А ,  Морские Дубки ул,  д.39 А ,  Морские Дубки ул,  д.31 А ,  Пограничная ул,  д.56 А ,  Пограничная ул,  д.30 А ,  Пограничная ул,  д.49  ,  лит.А,  Морские Дубки ул,  д.50 А ,  Морские Дубки ул,  д.40 А ,  Пограничная ул,  д.58 А ,  Пограничная ул,  д.61 А ,  Пограничная ул,  д.41 А",2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ"
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Седова,  д. 95,  к.2,  к.3.",2023-09-24 10:00:00,2023-09-24 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Колпинский район,п. Металлострой,пром зона Металлострой,2023-09-24 10:00:00,2023-09-24 16:00:00,Южные электрические сети,Колпинский РЭС,
Санкт-Петербург,Пушкинский район,г. Пушкин,"Саперная. д. 55 к1с1,  к1с2,  к1с3",2023-09-22 22:00:00,2023-09-23 07:00:00,Южные электрические сети,Пушкинский РЭС,
Ленинградская область,Тосненский район,п. Рябово,"Мысленская,  Восточная,  Заводская,  Набережная,  Заречная",2023-09-22 17:00:00,2023-09-22 18:00:00,Гатчинские ЭС,Тосненский РЭС,В связи с производством оперативных переключений по ф.717-07
Ленинградская область,Лодейнопольский район,д.Старая Слобода,Центр,2023-09-22 13:00:00,2023-09-22 16:00:00,Новоладожские ЭС,Лодейнопольский РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Ольги Берггольц,  д. 12,  лит.А; ул. Бабушкина,  д. 14,  лит.А.",2023-09-22 11:00:00,2023-09-22 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Выборгский район (СПб),Санкт-Петербург,Ивана Фомина д. 9. пр. Просвещения д. 35,2023-09-22 11:00:00,2023-09-22 17:00:00,Кабельная сеть,Северный РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Красногвардейская площадь, д3",2023-09-22 10:30:00,2023-09-22 17:00:00,Кабельная сеть,Правобережный РЭС,
