"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий,building_id
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,Будапештская ул.,2023-09-25 11:00:00,2023-09-25 17:00:00,Кабельная сеть,Невский РЭС,,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург, д. 3,2023-09-25 11:00:00,2023-09-25 17:00:00,Кабельная сеть,Невский РЭС,,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург, лит. А.,2023-09-25 11:00:00,2023-09-25 17:00:00,Кабельная сеть,Невский РЭС,,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,ул. Яхтенная д. 32 к. 2,2023-09-25 10:00:00,2023-09-25 17:00:00,Кабельная сеть,Западный РЭС,,206467.0
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург, ул. Яхтенная д. 32 к. 3,2023-09-25 10:00:00,2023-09-25 17:00:00,Кабельная сеть,Западный РЭС,,206467.0
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург, ул. Яхтенная д. 32 к. 4,2023-09-25 10:00:00,2023-09-25 17:00:00,Кабельная сеть,Западный РЭС,,206467.0
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,2023-09-25 10:00:00,2023-09-25 17:00:00,Северные электрические сети,Сертоловский РЭС,,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,2023-09-25 10:00:00,2023-09-25 20:00:00,Кабельная сеть,Южный РЭС,,17269.0
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Волковский пр. д. 32,2023-09-25 10:00:00,2023-09-25 20:00:00,Кабельная сеть,Южный РЭС,,17269.0
Санкт-Петербург,Петроградский район,Санкт-Петербург,Петровский пр.,2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,
Санкт-Петербург,Петроградский район,Санкт-Петербург, д. 1,2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,
Санкт-Петербург,Петроградский район,Санкт-Петербург, д. 3,2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,
Санкт-Петербург,Петроградский район,Санкт-Петербург, д. 5 стр. 1,2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,
Санкт-Петербург,Петроградский район,Санкт-Петербург, д. 16,2023-09-25 10:00:00,2023-09-25 18:00:00,Кабельная сеть,Островной РЭС,Перевод нагрузки на ТП 1501,
Санкт-Петербург,Курортный район,п.Комарово,Щучье Озеро,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.3 (участок 1),2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово,берег Щучьего озера,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.5 ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово,Берег Щучьего Озера тер,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.3,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово,Берег Щучьего Озера тер,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.2 ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово,Щучье Озеро,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.2 ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово,Щучье Озеро,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Санкт-Петербург,Курортный район,п.Комарово, д.2Б,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,Установка УТКЗ,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)",СНТ Акватория,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", ПДК Балтийская Ривьера,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)",ДНП Старое Приветнинское ,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Улис ,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Онега,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Ручей,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Руские мельницы,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Омега ДНП Золотые Пески,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", магазин Стройудача,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Озерное,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", ДНП Приморье 1,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,219165.0
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", Т/Б Разлив КП Крутой берег,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", НП Новое Комарово,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Зеленая Поляна СНТ Полянки,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Финский Бриз,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Морские терассы,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Выборгский район (ЛО),"п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща ,  п Боровое,  п Красноозерное,  п Октябрьское,  д Мастерьярви,  д Горки,  п Зеленая Роща п Приветнинское (Индивидуальные  застройщики),            п Пески (с включением на ночь)", СНТ Стрела,2023-09-25 09:00:00,2023-09-29 19:00:00,Выборгские ЭС,Рощинский РЭС,,
Ленинградская область,Волосовский район,"Пружицы,  Голятицы",,2023-09-25 09:00:00,2023-09-25 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,,
Санкт-Петербург,Курортный район,п.Лисий Нос,Морские Дубки ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.28  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Морские Дубки ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.31  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Морские Дубки ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.33  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Морские Дубки ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.37  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.32 А ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.49  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
